Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
15/08/2025,20:00,Liverpool,Bournemouth,4,2,H,1.3,6.0,8.5
16/08/2025,12:30,Aston Villa,Newcastle,0,0,D,2.25,3.5,2.9
16/08/2025,15:00,Brighton,Fulham,1,1,D,1.91,3.6,4.0
16/08/2025,15:00,Sunderland,West Ham,3,0,H,3.25,3.4,2.25
16/08/2025,15:00,Tottenham,Burnley,3,0,H,1.38,4.75,8.5
16/08/2025,17:30,Wolves,Man City,0,4,A,6.25,4.75,1.45
17/08/2025,14:00,Chelsea,Crystal Palace,0,0,D,1.62,4.33,4.5
17/08/2025,14:00,Nott'm Forest,Brentford,3,1,H,2.2,3.3,3.5
17/08/2025,16:30,Man United,Arsenal,0,1,A,3.6,3.6,1.95
18/08/2025,20:00,Leeds,Everton,1,0,H,2.38,3.3,3.0
